"Number","Title","Year","Runtime","Genre","Ratings","Director","Total.Vote","Rated","Stars.1","Stars.2","Stars.3"
"114","Ada Apa dengan Cinta?",2002,112,"Drama",7.7,"Rudy Soedjarwo",2741,"13+","Dian Sastrowardoyo","Nicholas Saputra","Ladya Cheryl"
"116","Rumah Kentang: The Beginning",2019,102,"Drama",5.9,"Rizal Mantovani",75,"17+","Luna Maya","Christian Sugiono","Jajang C. Noer"
"117","Habibie & Ainun",2012,120,"Biography",7.6,"Faozan Rizal",2072,"13+","Reza Rahadian","Bunga Citra Lestari","Tio Pakusadewo"
"118","Without Mercy",1995,90,"Action",5.3,"Robert Chappell",118,"R","Frank Zagarino","Ayu Azhari","Martin Kove"
"119","Modus Anomali",2012,87,"Thriller",5.5,"Joko Anwar",2712,"R","Rio Dewanto","Hannah Al Rashid","Izzi Isman"
"120","Yowis Ben",2018,99,"Comedy",8.2,"Fajar Nugros",3257,"13+","Bayu Skak","Bayu Skak","Cut Meyriska"
"121","Usia Dalam Gejolak",1986,90,"Drama",7.9,"Sisworo Gautama Putra",32,"13+","Suzzanna","Bagus Santoso","Nena Rosier"
"122","Pretty Boys",2019,100,"Comedy",6.9,"Tompi",470,"13+","Vincent Ryan Rompies","Deddy Mahendra Desta","Danilla Riyadi"
"123","Danur 2: Maddah",2018,92,"Horror",5.7,"Awi Suryadi",471,"17+","Prilly Latuconsina","Sandrinna Michelle","Shawn Adrian Khulafa"
"124","Kucumbu Tubuh Indahku",2018,105,"Drama",7.5,"Garin Nugroho",446,"21+","Muhammad Khan","Raditya Evandra","Rianto"
"126","Mata Batin 2",2019,116,"Drama",5.4,"Rocky Soraya",561,"17+","Jessica Mila","Nabilah Ratna Ayu Azalia","Sophia Latjuba"
"127","Santet",2018,85,"Horror",3.8,"Helfi C.H. Kardit",299,"17+","Kelly Brook","Marcellino Lafrand","Ayu Dyah Pasha"
"128","#TemanTapiMenikah2",2020,100,"Biography",7,"Rako Prijanto",287,"13+","Adipati Dolken","Mawar Eva de Jongh","Vonny Cornellya"
"129","Warkop DKI Reborn: Jangkrik Boss Part 1",2016,95,"Adventure",6.5,"Anggy Umbara",1154,"13+","Abimana Aryasatya","Vino G. Bastian","Tora Sudiro"
"131","Mahasiswi Baru",2019,96,"Comedy",5.5,"Monty Tiwa",120,"13+","Widyawati","Morgan Oey","Mikha Tambayong"
"132","Preman",2021,92,"Action",7.7,"Randolph Zaini",33,"17+","Paul Agusta","Farell Akbar","Tubagus Ali"
"134","Dear Nathan",2017,99,"Drama",7.1,"Indra Gunawan",499,"13+","Amanda Rawles","Jefri Nichol","Surya Saputra"
"135","Leák",1987,116,"Fantasy",5.8,"H. Tjut Djalil",1230,"13+","Ilona Agathe Bastian","Yos Santo","Sofia W.D."
"136","Love Knots",2021,90,"Romance",1.9,"Anika Maharani",181,"13+","Beby Tsabina","Rizky Nazar","Brisia Jodie"
"137","Pocong Mandi Goyang Pinggul",2011,90,"Comedy",1.9,"Yoyok Subagyo",181,"13+","Ucok Baba","Annisa Bahar","Tata Dado"
"138","The Doll",2016,107,"Horror",5.2,"Rocky Soraya",713,"13+","Shandy Aulia","Denny Sumargo","Sara Wijayanto"
"139","Cek Toko Sebelah",2016,104,"Comedy",7.9,"Ernest Prakasa",1753,"13+","Ernest Prakasa","Kin Wah Chew","Gisella Anastasia"
"140","Si Doel: The Movie",2018,85,"Drama",7.2,"Rano Karno",409,"13+","Rano Karno","Maudy Koesnaedi","Cornelia Agatha"
"141","Tersanjung: The Movie",2021,114,"Drama",6,"Pandu Adjisurya",196,"13+","Hanung Bramantyo","Nur Jihat Hisyam","Clara Bernadeth"
"142","Sianida",2021,84,"Crime",9,"Aghniny Haque",904,"Not Rated","Jihane Almira","Rio Dewanto","Michelle Joan"
"143","Ustad Milenial",2021,84,"Drama",8.1,"Arbani Yasiz",101,"Not Rated","Cut Mini Theo","Prilly Latuconsina","Endy Arfian"
"144","Raped by Saitan (Diperkosa Setan)",2010,84,"Horror",5.2,"Petruska Karangan",42,"13+","Cynthiara Alona","Winda Amanta","Anggun"
"145","Cinta dan Nafsu",1996,81,"Drama",5.5,"Emil G. Hampp",12,"13+","Ibra Azhari","Febby Lawrence","Reynaldi"
"146","My Stupid Boss 2",2019,96,"Adventure",6.6,"Upi Avianto",437,"13+","Reza Rahadian","Bunga Citra Lestari","Kin Wah Chew"
"147","Menculik Miyabi",2010,85,"Action",3.3,"Findo Purwono",156,"17+","Maria Ozawa","Nicky Tirta","Herfiza Novianti"
"148","Perjanjian di Malam Keramat",1991,82,"Horror",6,"Sisworo Gautama Putra",28,"17+","Anita Anjani","Alex Bernard","Malino Djunaedy"
